TERITORIJA;KADASTRA_NR;IPASUMA_TIPS;DARIJUMA_SUMMA;KADASTRALA_VERTIBA;PLATIBA;DOM_SK;DOM_SAUC
Rīga;01001132310;Zemes nekustams īpašums;1000;21084;0.4582;105;41078
Salaspils nov.;80310130955;Zemes nekustams īpašums;180;75;0.1941;1;7
Olaines nov.;80800170144;Zemes un ēkas nekustams īpašums;42000;13204;0.06;1;1
Cēsu nov.;42010080216;Zemes un ēkas nekustams īpašums;1000;12745;0.0575;7;32
Olaines nov.;80800050125;Zemes nekustams īpašums;1;181;0.4706;1;28
Rīga;01001110212;Zemes nekustams īpašums;50;51137;0.2955;5129;229426
Ķekavas nov.;80070022108;Zemes nekustams īpašums;49500;88771;0.1233;1;1
Rīga;01001020090;Zemes nekustams īpašums;6545.21;11300;0.0662;2;3
Saulkrastu nov.;80330031529;Zemes un ēkas nekustams īpašums;4750;9427;0.082;1;2
Saulkrastu nov.;80330011187;Zemes nekustams īpašums;3000;16564;0.2402;3;4
Rīga;01001122035;Zemes nekustams īpašums;50;21843;0.0969;591;54109
Jelgava;09000140132;Zemes un ēkas nekustams īpašums;1205;29279;0.0925;1;1
Pāvilostas nov.;64130010233;Zemes nekustams īpašums;175000;28761;0.1191;1;1
Rīga;01001230068;Zemes un ēkas nekustams īpašums;270000;164184;0.116;1;1
Rīga;01001202540;Zemes nekustams īpašums;2000;7479;0.0314;5155;21042
Jūrmala;13000081301;Zemes un ēkas nekustams īpašums;1750000;1285994;0.3447;6;41
Jūrmala;13000162406;Zemes nekustams īpašums;105000;59383;0.1568;1;1
Liepāja;17000410793;Zemes nekustams īpašums;660.87;9016;0.0963;961;9770
Jūrmala;13000011326;Zemes nekustams īpašums;4400;34941;0.5904;935;11808
